"Plant ID","Plant Name",Taxonomy,Origin,Material,"Maintained By",Availability
"PI 12728",,"Brassica rapa","United States",,NC7,"Not Available"
"PI 80934","Suigukina makino","Brassica rapa",Japan,,NC7,"Not Available"
"PI 97714",,"Brassica rapa",China,,NC7,"Not Available"
"PI 97715",,"Brassica rapa",China,,NC7,"Not Available"
"PI 107281","No. 516","Brassica rapa",Norway,,NC7,"Not Available"
"PI 114032",,"Brassica rapa",Iraq,,NC7,"Not Available"
"Ames 30078","Ames 30078","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"Ames 30079","Ames 30079","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"Ames 30080","Ames 30080","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"Ames 30081","Ames 30081","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"Ames 30082","Ames 30082","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"Ames 30083","Ames 30083","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"Ames 30084","Ames 30084","Brassica rapa","United States",Seed,NC7,"Add to Cart"
"PI 115566",Seilgarm,"Brassica rapa",Turkey,,NC7,"Not Available"
"PI 115886",Shelgam,"Brassica rapa",India,,NC7,"Not Available"
"PI 116217",,"Brassica rapa",Morocco,,NC7,"Not Available"
"PI 116466",Shelgam,"Brassica rapa",India,,NC7,"Not Available"
"PI 116467",Shelgam,"Brassica rapa",India,,NC7,"Not Available"
"PI 116468",Shelgam,"Brassica rapa",India,,NC7,"Not Available"
"PI 116908","Surkh shelgam","Brassica rapa",Afghanistan,,NC7,"Not Available"
"PI 117120","No. 164","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 117547","Couve nabica","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 117871","Nabo roxo","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118014","No. 1023","Brassica rapa",India,,NC7,"Not Available"
"PI 118015","No. 1022","Brassica rapa",India,,NC7,"Not Available"
"PI 118238","Nabo branco eiio comprido","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118239","Nabo amarello de milao","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118240","Nabo chato branco Francez","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118241","Nabica de tarra","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118242","Nabo do Japao","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118243","Nabo branco chato tennoji","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118244","Nabo branco chato shogoin","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118245","Nabo branco tokinashi","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118246","Couve nabo branco","Brassica rapa",Brazil,,NC7,"Not Available"
"PI 118572","No. 1136q","Brassica rapa",Pakistan,,NC7,"Not Available"
"PI 120906","No. 1154","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120907","No. 1221","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120908","No. 1361","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120909","No. 1694","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120910","No. 1697","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120912","No. 2035","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120913","No. 2159","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120914","No. 2218","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120915","No. 2354","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120916","No. 2517","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120917","No. 3034","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120918","No. 3164","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 120919","No. 3255","Brassica rapa",Turkey,,NC7,"Not Available"
"PI 121843",Mulu,"Brassica rapa",Pakistan,,NC7,"Not Available"
"PI 121844",Mulu,"Brassica rapa",Pakistan,,NC7,"Not Available"
"PI 121845",Nyungma,"Brassica rapa",India,,NC7,"Not Available"
"PI 121846","No. 1401","Brassica rapa",India,,NC7,"Not Available"
"PI 121847","Japanese Shogin","Brassica rapa",India,,NC7,"Not Available"
"PI 124077",Shalgam,"Brassica rapa",India,,NC7,"Not Available"
"PI 124531",Goguru,"Brassica rapa",India,,NC7,"Not Available"
"PI 124532",Shelgum,"Brassica rapa",India,,NC7,"Not Available"
"PI 127441",Shelgam,"Brassica rapa",Afghanistan,,NC7,"Not Available"
"PI 135872","Safed Shelgam","Brassica rapa",Pakistan,,NC7,"Not Available"
"PI 138880",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138881",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138885",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138888",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138889",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138890",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138891",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138892",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138893",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138895",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138896",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138897",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 138898",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 140140",Turbalz,"Brassica rapa",Afghanistan,,NC7,"Not Available"
"PI 140141",Sharsham,"Brassica rapa",Afghanistan,,NC7,"Not Available"
"PI 140142",Shalzham,"Brassica rapa",Afghanistan,,NC7,"Not Available"
"PI 141583",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141584",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141586",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141587",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141588",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141589",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141590",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141591",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141592",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141593",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141594","Shelghami Khirmiz","Brassica rapa",Iran,,NC7,"Not Available"
"PI 141595",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 141596",Shelgam,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 143367",Shelgham,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 143368",Shelgham,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 143369",Shelgham,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 143370",Shelgham,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 143371",Shelgham,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 143372",Shelgham,"Brassica rapa",Iran,,NC7,"Not Available"
"PI 156622",Bortfeldski,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 156623",Osterzundski,"Brassica rapa","Russian Federation",,NC7,"Not Available"
"PI 156705","Golden Ball","Brassica rapa",Japan,,NC7,"Not Available"
"PI 156706","Purple Top White Globe","Brassica rapa",Japan,,NC7,"Not Available"
"PI 676030",HT-LT46,"Brassica rapa","New Zealand",Seed,PVPO,"Not Available"
"PI 676031",HT-BT35,"Brassica rapa","New Zealand",Seed,PVPO,"Not Available"
